Fips,Metro_area,Latitude,Longitude,Share_of_recent_buyers,State
10420,"Akron, OH Metro Area",41.1284,-81.3447,5.10%,OH
10180,"Abilene, TX Metro Area",32.5202,-99.8793,7.10%,TX
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",41.2008,-80.501,4.90%,OH
48700,"Williamsport, PA Metro Area",41.333,-77.0553,3.50%,PA
47940,"Waterloo-Cedar Falls, IA Metro Area",42.5578,-92.3184,4.80%,IA
47020,"Victoria, TX Metro Area",28.7455,-97.1672,3.60%,TX
46660,"Valdosta, GA Metro Area",30.8879,-83.3553,5.00%,GA
46340,"Tyler, TX Metro Area",32.4113,-95.246,5.00%,TX
46220,"Tuscaloosa, AL Metro Area",33.0453,-87.5739,3.70%,AL
45500,"Texarkana, TX-AR Metro Area",33.4821,-94.2347,3.90%,TX
45460,"Terre Haute, IN Metro Area",39.5257,-87.273,4.60%,IN
44940,"Sumter, SC Metro Area",33.906,-80.3415,4.30%,SC
44700,"Stockton-Lodi, CA Metro Area",37.8911,-121.2479,4.10%,CA
43580,"Sioux City, IA-NE-SD Metro Area",42.6474,-96.4377,4.00%,IA
43100,"Sheboygan, WI Metro Area",43.7185,-87.6387,3.70%,WI
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",41.2768,-75.8782,4.40%,PA
42100,"Santa Cruz-Watsonville, CA Metro Area",37.0528,-122.0429,4.50%,CA
41860,"San Francisco-Oakland-Hayward, CA Metro Area",37.6888,-122.0651,4.90%,CA
41660,"San Angelo, TX Metro Area",31.3904,-100.6915,4.00%,TX
40980,"Saginaw, MI Metro Area",43.3487,-84.0339,4.70%,MI
40660,"Rome, GA Metro Area",34.3331,-85.1945,5.00%,GA
40580,"Rocky Mount, NC Metro Area",35.9394,-77.7743,4.30%,NC
40420,"Rockford, IL Metro Area",42.326,-89.0517,4.60%,IL
40380,"Rochester, NY Metro Area",43.0717,-77.3205,4.90%,NY
40220,"Roanoke, VA Metro Area",37.2914,-80.0466,4.80%,VA
39740,"Reading, PA Metro Area",40.4076,-75.9297,4.60%,PA
38300,"Pittsburgh, PA Metro Area",40.4467,-79.9094,4.90%,PA
37620,"Parkersburg-Vienna, WV Metro Area",39.1532,-81.5332,3.60%,WV
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",34.447,-119.0772,4.50%,CA
36980,"Owensboro, KY Metro Area",37.6899,-87.1226,5.00%,KY
35980,"Norwich-New London, CT Metro Area",41.4646,-72.0528,4.60%,CT
35380,"New Orleans-Metairie, LA Metro Area",29.7839,-89.6135,4.60%,LA
34620,"Muncie, IN Metro Area",40.2278,-85.3965,3.30%,IN
33700,"Modesto, CA Metro Area",37.6057,-120.8871,4.70%,CA
33660,"Mobile, AL Metro Area",30.6582,-88.1993,4.60%,AL
